,Direct,Facebook,Instagram,Other,Search,total
2017-11-22,9.0,1.0,10.0,0.0,21.0,41.0
2017-11-23,8.0,0.0,7.0,0.0,15.0,30.0
2017-11-24,13.0,0.0,13.0,1.0,23.0,50.0
2017-11-25,10.0,0.0,20.0,0.0,20.0,50.0
2017-11-26,6.0,0.0,13.0,0.0,14.0,33.0
2017-11-27,7.0,3.0,14.0,5.0,20.0,49.0
2017-11-28,2.0,2.0,6.0,0.0,8.0,18.0
2017-11-29,8.0,0.0,13.0,0.0,10.0,31.0
2017-11-30,10.0,1.0,20.0,0.0,21.0,52.0
2017-12-01,9.0,5.0,20.0,0.0,12.0,46.0
2017-12-02,5.0,0.0,13.0,0.0,10.0,28.0
2017-12-03,15.0,1.0,35.0,1.0,16.0,68.0
2017-12-04,9.0,1.0,12.0,0.0,13.0,35.0
2017-12-05,7.0,0.0,15.0,0.0,17.0,39.0
2017-12-06,13.0,0.0,16.0,1.0,14.0,44.0
2017-12-07,9.0,1.0,8.0,2.0,11.0,31.0
2017-12-08,5.0,0.0,13.0,0.0,11.0,29.0
2017-12-09,5.0,0.0,10.0,0.0,11.0,26.0
2017-12-10,10.0,0.0,24.0,0.0,27.0,61.0
2017-12-11,5.0,1.0,10.0,0.0,8.0,24.0
2017-12-12,10.0,1.0,19.0,0.0,19.0,49.0
2017-12-13,8.0,5.0,17.0,0.0,10.0,40.0
2017-12-14,13.0,3.0,18.0,0.0,16.0,50.0
2017-12-15,12.0,0.0,11.0,0.0,12.0,35.0
2017-12-16,7.0,1.0,10.0,0.0,11.0,29.0
2017-12-17,15.0,1.0,4.0,0.0,14.0,34.0
2017-12-18,13.0,0.0,9.0,0.0,21.0,43.0
2017-12-19,6.0,1.0,9.0,0.0,13.0,29.0
2017-12-20,8.0,0.0,10.0,0.0,13.0,31.0
2017-12-21,10.0,0.0,22.0,0.0,16.0,48.0
2017-12-22,10.0,1.0,4.0,0.0,10.0,25.0
2017-12-23,3.0,0.0,6.0,0.0,4.0,13.0
2017-12-24,4.0,1.0,7.0,0.0,7.0,19.0
2017-12-25,16.0,0.0,10.0,0.0,9.0,35.0
2017-12-26,5.0,0.0,2.0,0.0,9.0,16.0
2017-12-27,11.0,0.0,6.0,0.0,11.0,28.0
2017-12-28,9.0,1.0,5.0,0.0,7.0,22.0
2017-12-29,6.0,1.0,7.0,0.0,5.0,19.0
2017-12-30,8.0,0.0,4.0,0.0,5.0,17.0
2017-12-31,2.0,0.0,3.0,0.0,5.0,10.0
2018-01-01,5.0,1.0,4.0,0.0,6.0,16.0
2018-01-02,7.0,0.0,8.0,0.0,9.0,24.0
2018-01-03,6.0,0.0,19.0,1.0,14.0,40.0
2018-01-04,10.0,0.0,16.0,1.0,11.0,38.0
2018-01-05,8.0,0.0,4.0,3.0,22.0,37.0
2018-01-06,5.0,2.0,13.0,1.0,17.0,38.0
2018-01-07,7.0,0.0,12.0,1.0,22.0,42.0
2018-01-08,4.0,0.0,7.0,1.0,8.0,20.0
2018-01-09,6.0,0.0,13.0,0.0,16.0,35.0
2018-01-10,6.0,0.0,10.0,3.0,7.0,26.0
2018-01-11,6.0,0.0,10.0,1.0,9.0,26.0
2018-01-12,6.0,13.0,18.0,0.0,14.0,51.0
2018-01-13,5.0,18.0,15.0,0.0,10.0,48.0
2018-01-14,5.0,0.0,18.0,0.0,11.0,34.0
2018-01-15,7.0,1.0,16.0,0.0,21.0,45.0
2018-01-16,5.0,0.0,20.0,0.0,5.0,30.0
2018-01-17,7.0,1.0,14.0,0.0,11.0,33.0
2018-01-18,6.0,1.0,11.0,1.0,11.0,30.0
2018-01-19,6.0,1.0,7.0,0.0,6.0,20.0
2018-01-20,6.0,0.0,10.0,0.0,9.0,25.0
2018-01-21,6.0,1.0,23.0,0.0,19.0,49.0
2018-01-22,8.0,1.0,10.0,0.0,9.0,28.0
