num_people|bikini/apparel|is_male|faces_visible|sale|edited|butt_pic|ocean|skate|drift_content|product_shot|lifestyle|in_shop|pro\model|in_nature|surf|url
2|c|0|0|0|1|1|0|0|0|1|0|0|1|0|0|https://www.instagram.com/p/Bb60sldFFb5/?taken-by=thedriftcollective
2|c|2|0|1|1|0|0|0|1|0|1|0|0|0|0|https://www.instagram.com/p/Bb4XtQiFCap/?taken-by=thedriftcollective
1|b|0|0|0|0|1|0|0|0|1|0|0|0|0|0|https://www.instagram.com/p/Bb15MUal-Ut/?taken-by=thedriftcollective
1|b|0|1|0|0|0|0|0|0|1|1|0|1|1|0|https://www.instagram.com/p/Bbz55LuFRjZ/?taken-by=thedriftcollective
3|d|1|0|0|0|0|0|1|1|0|1|0|0|0|0|https://www.instagram.com/p/Bbw45sPFh7D/?taken-by=thedriftcollective
1|c|0|1|0|0|0|0|0|1|1|1|1|1|0|0|https://www.instagram.com/p/BbpNmG2Fvba/?taken-by=thedriftcollective
1|a|1|0|0|0|0|1|0|0|0|1|0|0|0|0|https://www.instagram.com/p/BbmyteBF-B3/?taken-by=thedriftcollective
0|a|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BbZ73wCFGRj/?taken-by=thedriftcollective
1|b|0|0|0|0|1|0|0|0|1|0|1|1|0|0|https://www.instagram.com/p/BbXThf1lLSV/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BbVoWMJlwV1/?taken-by=thedriftcollective
2|b|0|0|0|0|1|0|0|0|0|1|1|0|0|0|https://www.instagram.com/p/BbSTZgyla1L/?taken-by=thedriftcollective
1|b|0|0|0|0|1|1|0|0|1|1|0|1|0|0|https://www.instagram.com/p/BbNfq6cFOTZ/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|0|1|1|0|0|0|0|https://www.instagram.com/p/BbINRXcFMS_/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|0|0|1|0|0|0|https://www.instagram.com/p/BbCdRZRFzxL/?taken-by=thedriftcollective
1|a|1|0|0|0|0|0|1|1|0|1|0|0|0|0|https://www.instagram.com/p/Ba_vSJwFrA3/?taken-by=thedriftcollective
